procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12771068  11232  98536    0    0     5   236    9   22  0  0 100  0  0
 0  0      0 12761860  11232  98536    0    0     0     0    3   32  0  0 100  0  0
 0  0      0 12751652  11232  98536    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12741444  11232  98536    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12731236  11232  98536    0    0     0     0    3   24  0  0 100  0  0
 0  0      0 12721028  11232  98536    0    0     0     0    2   26  0  0 100  0  0
 0  0      0 12710556  11240  98528    0    0     0    28   42  127  0  0 100  0  0
 0  0      0 12699844  11240  98528    0    0     0     0    3   26  0  0 100  0  0
 0  0      0 12689636  11240  98540    0    0     0     0   95  243  0  0 100  0  0
 0  0      0 12679176  11240  98540    0    0     0     0    2   25  0  0 100  0  0
 0  0      0 12668976  11240  98540    0    0     0     0  918 1912  0  0 100  0  0
 1  0      0 12770372  11240  98540    0    0     0     0 1383 2844  0  1 98  0  0
 0  0      0 12770552  11248  98540    0    0     0    16 1694 3500  0  1 99  0  0
 0  0      0 12770560  11248  98540    0    0     0     0 2479 5027  0  1 99  0  0
 0  0      0 12770560  11248  98540    0    0     0     0 1370 2820  0  1 99  0  0
 0  0      0 12770560  11248  98540    0    0     0     0    1   24  0  0 100  0  0
 0  0      0 12770560  11248  98540    0    0     0     0  929 1917  0  0 99  0  0
 0  0      0 12770560  11248  98540    0    0     0     0  910 1869  0  0 100  0  0
 0  0      0 12770560  11256  98532    0    0     0    12  904 1862  0  0 100  0  0
 0  0      0 12770560  11256  98532    0    0     0     0    1   22  0  0 100  0  0
 0  0      0 12770560  11256  98532    0    0     0     0    1   20  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12770560  11256  98532    0    0     0     0    1   25  0  0 100  0  0
 0  0      0 12770560  11256  98532    0    0     0     0    1   22  0  0 100  0  0
 0  0      0 12770560  11256  98532    0    0     0     0    1   25  0  0 100  0  0
 0  0      0 12770560  11264  98524    0    0     0    12    5   34  0  0 100  0  0
 0  0      0 12770560  11264  98524    0    0     0     0    1   25  0  0 100  0  0
 0  0      0 12770560  11264  98524    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12770560  11264  98524    0    0     0     0    1   25  0  0 100  0  0
 0  0      0 12770560  11264  98524    0    0     0     0    2   42  0  0 100  0  0
 0  0      0 12770560  11264  98524    0    0     0     0    3   31  0  0 100  0  0
 0  0      0 12770560  11272  98516    0    0     0    12    4   32  0  0 100  0  0
 0  0      0 12770560  11272  98544    0    0     4     4    3   30  0  0 100  0  0
 0  0      0 12770560  11272  98544    0    0     0     0    1   22  0  0 100  0  0
 0  0      0 12770560  11272  98544    0    0     0     0    2   25  0  0 100  0  0
 0  0      0 12770560  11272  98544    0    0     0     0    1   22  0  0 100  0  0
 0  0      0 12770560  11272  98544    0    0     0     0    2   32  0  0 100  0  0
 0  0      0 12770560  11280  98536    0    0     0    44    5   34  0  0 100  0  0
 0  0      0 12770568  11280  98544    0    0     0     0  346  721  0  0 100  0  0
 1  0      0 12770568  11280  98544    0    0     0     0 3427 6956  1  1 99  0  0
 0  0      0 12770048  11280  98544    0    0     0     0 3320 6713  0  1 99  0  0
 0  0      0 12770300  11280  98544    0    0     0     0  286  605  0  0 100  0  0
 0  0      0 12770300  11280  98544    0    0     0     0    2   29  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12770300  11288  98544    0    0     0    12    5   35  0  0 100  0  0
 0  0      0 12770300  11288  98544    0    0     0     0   30   83  0  0 100  0  0
 0  0      0 12770300  11288  98548    0    0     0     0    2   27  0  0 100  0  0
 0  0      0 12770300  11288  98548    0    0     0     0  227  502  0  0 100  0  0
 0  0      0 12770300  11288  98548    0    0     0     0    4   21  0  0 100  0  0
 0  0      0 12770300  11288  98548    0    0     0     0 1995 4043  0  0 99  0  0
 0  0      0 12770316  11296  98540    0    0     0    12    5   44  0  0 100  0  0
 0  0      0 12770316  11296  98540    0    0     0     0   59  152  0  0 100  0  0
 0  0      0 12770316  11296  98540    0    0     0     0    2   26  0  0 100  0  0
 0  0      0 12770316  11296  98540    0    0     0     0    3   28  0  0 100  0  0
 0  0      0 12770316  11296  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770316  11296  98540    0    0     0     0    2   21  0  0 100  0  0
 0  0      0 12770316  11304  98532    0    0     0    12  824 1681  0  0 100  0  0
 1  0      0 12770316  11304  98532    0    0     0     0  336  691  0  0 100  0  0
 0  0      0 12770316  11304  98532    0    0     0     0 1300 2641  0  0 100  0  0
 0  0      0 12770316  11304  98532    0    0     0     0    3   24  0  0 100  0  0
 0  0      0 12770316  11304  98532    0    0     0     0  822 1670  0  1 99  0  0
 0  0      0 12770316  11304  98532    0    0     0     0  981 1992  0  0 99  0  0
 0  0      0 12770316  11312  98524    0    0     0    12  663 1358  0  0 100  0  0
 0  0      0 12770316  11312  98524    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770316  11312  98524    0    0     0     0    3   26  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12770568  11312  98552    0    0     0     0  263  563  0  0 100  0  0
 0  0      0 12770568  11312  98552    0    0     0     0  272  602  0  0 100  0  0
 0  0      0 12770568  11312  98552    0    0     0     0    1   28  0  0 100  0  0
 0  0      0 12770568  11320  98552    0    0     0    44    6   39  0  0 100  0  0
 0  0      0 12770568  11320  98552    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12770568  11320  98552    0    0     0     0    3   34  0  0 100  0  0
 0  0      0 12770540  11320  98552    0    0     0     4    9   44  0  0 100  0  0
 0  0      0 12770540  11320  98552    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770540  11320  98552    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0    20    9   45  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0     0    3   20  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0     0    4   51  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0     0    1   22  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0    24    2   25  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0    12    5   34  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0     0  245  524  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0     0  640 1315  0  0 100  0  0
 0  0      0 12770192  11336  98540    0    0     0     0  476  984  0  0 100  0  0
 0  0      0 12769932  11336  98540    0    0     0     0  660 1349  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
